x0,x1,x2,t
6.60949,-3.38609,34.7359,0.276
6.50953,-3.42722,34.6208,0.277
6.41016,-3.46689,34.5061,0.278
6.31139,-3.50513,34.3917,0.279
6.21323,-3.54197,34.2778,0.28
6.11567,-3.57743,34.1642,0.281
6.01874,-3.61155,34.0511,0.282
5.92244,-3.64436,33.9385,0.283
5.82677,-3.67589,33.8263,0.284
5.73175,-3.70616,33.7145,0.285
5.63737,-3.73521,33.6033,0.286
5.54364,-3.76306,33.4925,0.287
5.45057,-3.78975,33.3822,0.288
5.35817,-3.81529,33.2724,0.289
5.26644,-3.83973,33.1632,0.29
5.17537,-3.86308,33.0544,0.291
5.08499,-3.88537,32.9461,0.292
4.99529,-3.90664,32.8384,0.293
4.90627,-3.9269,32.7312,0.294
4.81794,-3.94619,32.6246,0.295
4.73029,-3.96452,32.5184,0.296
4.64335,-3.98193,32.4129,0.297
4.55709,-3.99844,32.3078,0.298
4.47154,-4.01407,32.2033,0.299
4.38668,-4.02885,32.0994,0.3
4.30253,-4.04281,31.996,0.301
4.21907,-4.05596,31.8932,0.302
4.13632,-4.06833,31.7909,0.303
4.05428,-4.07994,31.6892,0.304
3.97293,-4.09082,31.5881,0.305
3.8923,-4.10098,31.4875,0.306
3.81236,-4.11046,31.3875,0.307
3.73314,-4.11926,31.288,0.308
3.65461,-4.12742,31.1891,0.309
3.57679,-4.13494,31.0907,0.31
3.49967,-4.14186,30.9929,0.311
3.42326,-4.14819,30.8957,0.312
3.34754,-4.15396,30.799,0.313
3.27253,-4.15917,30.7028,0.314
3.19821,-4.16386,30.6072,0.315
3.12459,-4.16804,30.5122,0.316
3.05166,-4.17172,30.4177,0.317
2.97943,-4.17492,30.3238,0.318
2.90789,-4.17767,30.2304,0.319
2.83703,-4.17998,30.1375,0.32
2.76686,-4.18186,30.0452,0.321
2.69737,-4.18334,29.9534,0.322
2.62857,-4.18443,29.8621,0.323
2.56044,-4.18514,29.7714,0.324
2.49298,-4.18549,29.6812,0.325
2.4262,-4.18549,29.5915,0.326
2.36008,-4.18517,29.5023,0.327
2.29463,-4.18453,29.4137,0.328
2.22984,-4.18359,29.3256,0.329
2.1657,-4.18236,29.2379,0.33
2.10222,-4.18086,29.1508,0.331
2.03939,-4.1791,29.0642,0.332
1.97721,-4.17709,28.9781,0.333
1.91566,-4.17485,28.8924,0.334
1.85476,-4.17238,28.8073,0.335
1.79449,-4.16971,28.7226,0.336
1.73484,-4.16683,28.6385,0.337
1.67583,-4.16377,28.5548,0.338
1.61743,-4.16054,28.4715,0.339
1.55965,-4.15714,28.3888,0.34
1.50248,-4.15359,28.3065,0.341
1.44592,-4.1499,28.2247,0.342
1.38996,-4.14607,28.1433,0.343
1.3346,-4.14213,28.0624,0.344
1.27984,-4.13807,27.982,0.345
